fid,name,dob,height_inches,weight_lbs,association,division,country,reach_inches,strike_offense_per_min,strike_offense_accuracy,strike_defense_per_min,strike_defense_accuracy,takedowns_per_fight,takedowns_accuracy,takedowns_defense,submissions_per_fight,wins,losses,draws,total_fights,win_pct,finish_pct
230,John Lewis,1969-07-16,72,160,Lewis,Welterweight,United States,,,,,,,,,,0,1,0,1,0,0
16635,Tom Speer,1984-08-20,71,170,,Welterweight,United States,,,,,,,,,,0,2,0,2,0,0
95457,Marcio Alexandre Jr.,1989-05-03,73,170,Team Tavares,Welterweight,Brazil,,,,,,,,,,0,3,0,3,0,0
3069,Mike Thomas Brown,1975-09-08,66,145,American Top Team,Featherweight,United States,,,,,,,,,,2,4,0,6,33,0
354,Kelly Dullanty,1977-07-04,68,155,,Lightweight,USA,,,,,,,,,,0,1,0,1,0,0
12078,Mizuto Hirota,1981-05-05,67,145,Cave,Featherweight,Japan,67,3.49,45,3.25,53,2.16,68,64,0,0,2,1,3,0,0
258,Alex Andrade,1974-05-14,71,200,Lion's Den,Light Heavyweight,United States,,0.2,36,2.6,53,0,0,25,0.8,0,0,0,0,0,0
87012,Cesar Arzamendia,1991-01-31,71,155,Paraguay Combat Team,Featherweight,Paraguay,71,5.37,45,5.2,56,7.32,75,0,2.4,0,0,0,0,0,0
132,Matt Andersen,1971-05-29,74,230,,Heavyweight,USA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Andy Anderson,1964-07-16,69,240,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
186,Mikey Burnett,1974-07-16,66,170,Lion's Den,Welterweight,USA,,,,,,,,,,0,0,0,0,0,0
180,Carlos Barreto,1968-07-22,76,230,,Heavyweight,Brazil,,,,,,,,,,0,0,0,0,0,0
56,Dave Beneteau,1968-07-16,74,250,,Heavyweight,Canada,,,,,,,,,,0,0,0,0,0,0
174,Dan Bobish,1970-01-26,73,345,Strong Style Fight Team,Super Heavyweight,United States,,2.06,44,1.74,34,2.44,42,0,1.6,0,0,0,0,0,0
46314,Keith Berish,1985-11-14,72,205,Black & Blue MMA,Light Heavyweight,United States,73,3.58,36,4.81,62,1.76,40,0,0,0,0,0,0,0,0
127,Jerry Bohlander,1974-11-02,71,199,Lion's Den,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
51,Melton Bowen,1969-03-10,72,225,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
207,Ebenezer Fontes Braga,1969-04-14,72,199,Gracie Barra Combat Team,Light Heavyweight,Brazil,,2.42,50,0.42,71,0,0,90,0.6,0,0,0,0,0,0
211,Frank Caracci,1970-02-16,67,205,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
131,Rafael Carino,1973-07-16,80,245,Nova Uniao,Heavyweight,Brazil,,,,,,,,,,0,0,0,0,0,0
213,Darrell Gholar,1962-11-07,68,198,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
153,Kazuo Takahashi,1969-03-13,70,203,D-One Gym,Light Heavyweight,Japan,,,,,,,,,,0,0,0,0,0,0
19478,Logan Clark,1985-02-16,74,185,Minnesota Martial Arts Academy,Middleweight,United States,,2.2,54,1.49,53,0.31,100,30,2.1,0,0,0,0,0,0
25,Sean Daugherty,1975-12-04,70,175,,Light Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Jason DeLucia,1969-07-24,71,190,,Light Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,Ron Faircloth,1979-08-16,69,205,Dungeon MMA,Light Heavyweight,United States,,0.39,40,8.9,42,0,0,0,0,0,0,0,0,0,0
200,Hugo Duarte,1968-08-09,72,240,Hugo Duarte Luta Livre,Heavyweight,Brazil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Joe Charles,1958-07-16,73,260,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
197,Bob Gilstrap,1974-07-16,75,210,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
67894,Robert Drysdale,1981-01-01,75,205,Drysdale Jiu-Jitsu,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
36,Fred Ettish,1955-10-12,72,180,,Middleweight,United States,,,,,,,,,,0,0,0,0,0,0
48,Jason Fairn,1973-07-16,73,230,Fairn Jiu-Jitsu,Heavyweight,Canada,,,,,,,,,,0,0,0,0,0,0
261,CJ Fernandes,1977-11-13,72,170,HIT Squad,Welterweight,USA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Scott Ferrozzo,1965-04-26,71,323,,Super Heavyweight,United States,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Zane Frazier,1966-07-16,78,230,,Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
124,Don Frye,1965-11-23,73,219,Team Frye,Heavyweight,United States,,2.87,64,3.57,37,0.91,57,45,0.7,0,0,0,0,0,0
196,Allan Goes,1971-04-20,72,205,Goes Martial Arts,Light Heavyweight,United States,,0.64,52,1.35,41,1.75,40,0,2.6,0,0,0,0,0,0
129,Gary Goodridge,1966-01-17,75,249,Big Daddy Fight Team,Heavyweight,Canada,,1.84,56,2.14,48,0.4,100,53,0.8,0,0,0,0,0,0
15,Gerard Gordeau,1955-03-30,77,216,Kamakura,Heavyweight,Netherlands,,,,,,,,,,0,0,0,0,0,0
146,Fabio Gurgel,1970-01-18,72,205,Alliance,Light Heavyweight,Brazil,,,,,,,,,,0,0,0,0,0,0
38,Keith Hackney,1958-04-15,71,200,,Light Heavyweight,United States,,,,,,,,,,0,0,0,0,0,0
