event_id,match_id,event_name,event_date,event_place,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,duration
15559,4,UFC Fight Night 24 - Nogueira vs. Davis,2011-03-26,"Key Arena, Seattle, Washington, United States",Christian Morecraft,Sean McCorkle,win,loss,34376,19640,TKO,Submission (Guillotine Choke,Anthony Hamlett,2,4:10
3255,4,UFC Fight Night 2 - Loiseau vs. Tanner,2005-10-03,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Drew Fickett,Josh Koscheck,win,loss,725,9418,TKO,Submission (Rear-Naked Choke,N/A,3,4:28
3486,1,UFC Fight Night 3 - Sylvia vs. Silva,2006-01-16,"Hard Rock Hotel and Casino, Las Vegas, Nevada, United States",Jason Von Flue,Alex Karalexis,win,loss,549,11941,TKO,Submission (Shoulder Choke,N/A,3,1:17
3508,2,UFC 57 - Liddell vs. Couture 3,2006-02-04,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Jeff Monson,Branden Lee Hinkle,win,loss,262,437,TKO,Submission (North-South Choke,N/A,1,4:35
5459,1,UFC - The Ultimate Fighter 6 Finale,2007-12-08,"Palms Casino Resort, Las Vegas, Nevada, United States",Jonathan Goulet,Paul Georgieff,win,loss,4120,11408,TKO,Submission (Rear-Naked Choke,Steve Mazzagatti,1,4:42
6339,4,UFC 83 - Serra vs. St. Pierre 2,2008-04-19,"Bell Centre, Montreal, Quebec, Canada",Demian Maia,Ed Herman,win,loss,14637,6561,TKO,Submission (Triangle Choke,Philippe Chartier,2,2:27
6394,3,UFC 84 - Ill Will,2008-05-24,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",Yoshiyuki Yoshida,War Machine,win,loss,12073,10999,TKO,Submission (Anaconda Choke,Herb Dean,1,0:56
8724,8,UFC Fight Night 16 - Fight for the Troops 1,2008-12-10,"Crown Coliseum, Fayetteville, North Carolina, United States",Steve Cantwell,Razak Al-Hassan,win,loss,12785,23326,TKO,Submission (Armbar,Mario Yamasaki,1,4:04
9448,2,UFC Fight Night 18 - Condit vs. Kampmann,2009-04-01,"Sommet Center, Nashville, Tennessee, United States",Rob Kimmons,Joe Vedepo,win,loss,9863,15833,TKO,Submission (Guillotine Choke,Herb Dean,1,1:54
9568,2,UFC 100 - Lesnar vs. Mir 2,2009-07-11,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Tom Lawlor,C.B. Dollaway,win,loss,21940,22350,TKO,Submission (Guillotine Choke,Yves Lavigne,1,0:55
10147,9,UFC 102 - Couture vs. Nogueira,2009-08-29,"Rose Garden Arena, Portland, Oregon, United States",Jake Rosholt,Chris Leben,win,loss,23322,6258,TKO,Submission (Arm-Triangle Choke,Yves Lavigne,3,1:30
10443,1,UFC Fight Night 19 - Diaz vs. Guillard,2009-09-16,"Cox Convention Center, Oklahoma City, Oklahoma, United States",Ryan Jensen,Steve Steinbeiss,win,loss,662,21627,TKO,Submission (Guillotine Choke,Gary Ritter,1,3:56
11118,10,UFC 107 - Penn vs. Sanchez,2009-12-12,"FedEx Forum, Memphis, Tennessee, United States",Frank Mir,Cheick Kongo,win,loss,2329,2193,TKO,Submission (Guillotine Choke,Herb Dean,1,1:12
11741,9,UFC 109 - Relentless,2010-02-06,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",Paulo Thiago,Mike Swick,win,loss,13336,5199,TKO,Submission (Brabo Choke,Herb Dean,2,1:54
12447,5,UFC 115 - Liddell vs. Franklin,2010-06-12,"GM Place, Vancouver, British Columbia, Canada",Matt Wiman,Mac Danzig,win,loss,12236,3396,TKO,Submission (Guillotine Choke,Yves Lavigne,1,1:45
12447,1,UFC 115 - Liddell vs. Franklin,2010-06-12,"GM Place, Vancouver, British Columbia, Canada",Mike Pyle,Jesse Lennox,win,loss,4577,17139,TKO,Submission (Triangle Choke,Kevin Dornan,3,4:44
13310,8,UFC 117 - Silva vs. Sonnen,2010-08-07,"Oracle Arena, Oakland, California, United States",Matt Hughes,Ricardo Almeida,win,loss,232,11,TKO,Submission (Anaconda Choke,Josh Rosenthal,1,3:15
13380,6,UFC 118 - Edgar vs. Penn 2,2010-08-28,"TD Garden, Boston, Massachusetts, United States",Nate Diaz,Marcus Davis,win,loss,11451,8592,TKO,Submission (Guillotine Choke,Yves Lavigne,3,4:02
15120,6,UFC Fight Night 23 - Fight for the Troops 2,2011-01-22,"Fort Hood, Killeen, Texas, United States",Yves Edwards,Cody McKenzie,win,loss,344,22173,TKO,Submission (Rear-Naked Choke,Jon Schorle,2,4:33
16712,5,UFC Fight Night 25 - Shields vs. Ellenberger,2011-09-17,"Ernest N. Morial Convention Center, New Orleans, Louisiana, United States",Ken Stone,Donny Walker,win,loss,24913,11486,TKO,Submission (Rear-Naked Choke,Myron Gaudet,1,2:40
17789,3,UFC Live 6 - Cruz vs. Johnson,2011-10-01,"Verizon Center, Washington, D.C., United States",T.J. Grant,Shane Roller,win,loss,15906,24540,TKO,Submission (Armbar,Fernando Yamasaki,3,2:12
17551,5,UFC 139 - Shogun vs. Henderson,2011-11-19,"HP Pavillion, San Jose, California, United States",Chris Weidman,Tom Lawlor,win,loss,42804,21940,TKO,Submission (Brabo Choke,Dan Stell,1,2:07
17274,12,UFC 140 - Jones vs. Machida,2011-12-10,"Air Canada Centre, Toronto, Ontario, Canada",Jon Jones,Lyoto Machida,win,loss,27944,7513,TKO,Submission (Guillotine Choke,John McCarthy,2,4:26
17274,11,UFC 140 - Jones vs. Machida,2011-12-10,"Air Canada Centre, Toronto, Ontario, Canada",Frank Mir,Antonio Rodrigo Nogueira,win,loss,2329,1440,TKO,Submission (Kimura,Herb Dean,1,3:38
19068,9,UFC on FX - Guillard vs. Miller,2012-01-20,"Bridgestone Arena, Nashville, Tennessee, United States",Josh Neer,Duane Ludwig,win,loss,9179,101,TKO,Submission (Guillotine Choke,Josh Rosenthal,1,3:04
20039,5,UFC on Fox 3 - Diaz vs. Miller,2012-05-05,"Izod Center, East Rutherford, New Jersey, United States",Louis Gaudinot,John Lineker,win,loss,45230,41906,TKO,Submission (Guillotine Choke,Keith Peterson,2,4:54
20203,12,UFC on Fuel TV 3 - Korean Zombie vs. Poirier,2012-05-15,"Patriot Center, Fairfax, Virginia, United States",Chan Sung Jung,Dustin Poirier,win,loss,36155,50529,TKO,Submission (Brabo Choke,Dan Miragliotta,4,1:07
19325,9,UFC - The Ultimate Fighter 15 Finale,2012-06-01,"Palms Casino Resort, Las Vegas, Nevada, United States",Michael Chiesa,Al Iaquinta,win,loss,46224,42817,TKO,Submission (Rear-Naked Choke,Herb Dean,1,2:47
19325,1,UFC - The Ultimate Fighter 15 Finale,2012-06-01,"Palms Casino Resort, Las Vegas, Nevada, United States",Erik Perez,John Albert,win,loss,35509,43796,TKO,Submission (Armbar,Kim Winslow,1,4:18
24719,4,UFC - The Ultimate Fighter 16 Finale,2012-12-15,"The Joint at the Hard Rock Hotel & Casino, Las Vegas, Nevada, United States",T.J. Waldburger,Nick Catone,win,loss,15125,23006,TKO,Submission (Triangle Choke,Herb Dean,2,1:04
25825,5,UFC 159 - Jones vs. Sonnen,2013-04-27,"Prudential Center, Newark, New Jersey, United States",Ovince St. Preux,Gian Villante,win,loss,38842,42802,TKO,Decision (Majority,Kevin Mulhall,3,0:33
28215,12,UFC on FX 8 - Belfort vs. Rockhold,2013-05-18,"Arena Jaragua, Jaragua do Sul, Santa Catarina, Brazil",Ronaldo Souza,Chris Camozzi,win,loss,8394,17224,TKO,Submission (Arm-Triangle Choke,Mario Yamasaki,1,3:37
26101,7,UFC on Fuel TV 10 - Nogueira vs. Werdum,2013-06-08,"Paulo Sarasate Gymnasium, Fortaleza, Ceara, Brazil",Rony Mariano Bezerra,Mike Wilkinson,win,loss,38190,50586,TKO,Submission (Triangle Choke,Marc Goddard,1,1:24
30249,11,UFC 165 - Jones vs. Gustafsson,2013-09-21,"Air Canada Centre, Toronto, Ontario, Canada",Brendan Schaub,Matt Mitrione,win,loss,33926,49519,TKO,Submission (Brabo Choke,Dan Miragliotta,1,4:06
